config_id,accel,fifo_depth,reg_slices,clock_crossing,shell,luts,ffs,brams,dsps,wns,tns,status
2,accel_lat4,4,1,0,0,122,1940,0,0,N/A,N/A,PASS
1,accel_lat4,4,0,1,0,39,2068,0,0,N/A,N/A,PASS
3,accel_lat4,4,1,1,0,39,2068,0,0,N/A,N/A,PASS
4,accel_lat4,4,2,0,0,128,2615,0,0,N/A,N/A,PASS
6,accel_lat4,8,0,0,0,131,1271,0,0,N/A,N/A,PASS
5,accel_lat4,4,2,1,0,39,2068,0,0,N/A,N/A,PASS
0,accel_lat4,4,0,0,0,121,1265,0,0,N/A,N/A,PASS
7,accel_lat4,8,0,1,0,57,2082,0,0,N/A,N/A,PASS
8,accel_lat4,8,1,0,0,132,1946,0,0,N/A,N/A,PASS
9,accel_lat4,8,1,1,0,57,2082,0,0,N/A,N/A,PASS
10,accel_lat4,8,2,0,0,136,2621,0,0,N/A,N/A,PASS
11,accel_lat4,8,2,1,0,57,2082,0,0,N/A,N/A,PASS
12,accel_lat4,16,0,0,0,138,1281,0,0,N/A,N/A,PASS
13,accel_lat4,16,0,1,0,57,2092,0,0,N/A,N/A,PASS
14,accel_lat4,16,1,0,0,139,1956,0,0,N/A,N/A,PASS
15,accel_lat4,16,1,1,0,57,2092,0,0,N/A,N/A,PASS
16,accel_lat4,16,2,0,0,144,2631,0,0,N/A,N/A,PASS
17,accel_lat4,16,2,1,0,57,2092,0,0,N/A,N/A,PASS
18,accel_lat4,32,0,0,0,171,1299,0,0,N/A,N/A,PASS
19,accel_lat4,32,0,1,0,74,2108,0,0,N/A,N/A,PASS
20,accel_lat4,32,1,0,0,172,1974,0,0,N/A,N/A,PASS
21,accel_lat4,32,1,1,0,74,2108,0,0,N/A,N/A,PASS
22,accel_lat4,32,2,0,0,176,2649,0,0,N/A,N/A,PASS
23,accel_lat4,32,2,1,0,74,2108,0,0,N/A,N/A,PASS
24,accel_lat4,64,0,0,0,232,1333,0,0,N/A,N/A,PASS
25,accel_lat4,64,0,1,0,105,2136,0,0,N/A,N/A,PASS
26,accel_lat4,64,1,0,0,233,2008,0,0,N/A,N/A,PASS
27,accel_lat4,64,1,1,0,105,2136,0,0,N/A,N/A,PASS
28,accel_lat4,64,2,0,0,237,2683,0,0,N/A,N/A,PASS
29,accel_lat4,64,2,1,0,105,2136,0,0,N/A,N/A,PASS
30,accel_lat8,4,0,0,0,121,1269,0,0,N/A,N/A,PASS
31,accel_lat8,4,0,1,0,39,2072,0,0,N/A,N/A,PASS
32,accel_lat8,4,1,0,0,122,1944,0,0,N/A,N/A,PASS
33,accel_lat8,4,1,1,0,39,2072,0,0,N/A,N/A,PASS
34,accel_lat8,4,2,0,0,128,2619,0,0,N/A,N/A,PASS
35,accel_lat8,4,2,1,0,39,2072,0,0,N/A,N/A,PASS
36,accel_lat8,8,0,0,0,131,1275,0,0,N/A,N/A,PASS
37,accel_lat8,8,0,1,0,57,2086,0,0,N/A,N/A,PASS
38,accel_lat8,8,1,0,0,132,1950,0,0,N/A,N/A,PASS
39,accel_lat8,8,1,1,0,57,2086,0,0,N/A,N/A,PASS
40,accel_lat8,8,2,0,0,136,2625,0,0,N/A,N/A,PASS
41,accel_lat8,8,2,1,0,57,2086,0,0,N/A,N/A,PASS
42,accel_lat8,16,0,0,0,138,1285,0,0,N/A,N/A,PASS
43,accel_lat8,16,0,1,0,57,2096,0,0,N/A,N/A,PASS
44,accel_lat8,16,1,0,0,139,1960,0,0,N/A,N/A,PASS
45,accel_lat8,16,1,1,0,57,2096,0,0,N/A,N/A,PASS
46,accel_lat8,16,2,0,0,144,2635,0,0,N/A,N/A,PASS
47,accel_lat8,16,2,1,0,57,2096,0,0,N/A,N/A,PASS
48,accel_lat8,32,0,0,0,171,1303,0,0,N/A,N/A,PASS
49,accel_lat8,32,0,1,0,74,2112,0,0,N/A,N/A,PASS
50,accel_lat8,32,1,0,0,172,1978,0,0,N/A,N/A,PASS
51,accel_lat8,32,1,1,0,74,2112,0,0,N/A,N/A,PASS
52,accel_lat8,32,2,0,0,176,2653,0,0,N/A,N/A,PASS
53,accel_lat8,32,2,1,0,74,2112,0,0,N/A,N/A,PASS
54,accel_lat8,64,0,0,0,232,1337,0,0,N/A,N/A,PASS
55,accel_lat8,64,0,1,0,105,2140,0,0,N/A,N/A,PASS
56,accel_lat8,64,1,0,0,233,2012,0,0,N/A,N/A,PASS
57,accel_lat8,64,1,1,0,105,2140,0,0,N/A,N/A,PASS
58,accel_lat8,64,2,0,0,237,2687,0,0,N/A,N/A,PASS
59,accel_lat8,64,2,1,0,105,2140,0,0,N/A,N/A,PASS
60,accel_lat16,4,0,0,0,121,1277,0,0,N/A,N/A,PASS
61,accel_lat16,4,0,1,0,39,2080,0,0,N/A,N/A,PASS
62,accel_lat16,4,1,0,0,122,1952,0,0,N/A,N/A,PASS
63,accel_lat16,4,1,1,0,39,2080,0,0,N/A,N/A,PASS
64,accel_lat16,4,2,0,0,128,2627,0,0,N/A,N/A,PASS
65,accel_lat16,4,2,1,0,39,2080,0,0,N/A,N/A,PASS
66,accel_lat16,8,0,0,0,131,1283,0,0,N/A,N/A,PASS
67,accel_lat16,8,0,1,0,57,2094,0,0,N/A,N/A,PASS
68,accel_lat16,8,1,0,0,132,1958,0,0,N/A,N/A,PASS
69,accel_lat16,8,1,1,0,57,2094,0,0,N/A,N/A,PASS
70,accel_lat16,8,2,0,0,136,2633,0,0,N/A,N/A,PASS
71,accel_lat16,8,2,1,0,57,2094,0,0,N/A,N/A,PASS
72,accel_lat16,16,0,0,0,138,1293,0,0,N/A,N/A,PASS
73,accel_lat16,16,0,1,0,57,2104,0,0,N/A,N/A,PASS
74,accel_lat16,16,1,0,0,139,1968,0,0,N/A,N/A,PASS
75,accel_lat16,16,1,1,0,57,2104,0,0,N/A,N/A,PASS
76,accel_lat16,16,2,0,0,144,2643,0,0,N/A,N/A,PASS
77,accel_lat16,16,2,1,0,57,2104,0,0,N/A,N/A,PASS
78,accel_lat16,32,0,0,0,171,1311,0,0,N/A,N/A,PASS
79,accel_lat16,32,0,1,0,74,2120,0,0,N/A,N/A,PASS
80,accel_lat16,32,1,0,0,172,1986,0,0,N/A,N/A,PASS
81,accel_lat16,32,1,1,0,74,2120,0,0,N/A,N/A,PASS
82,accel_lat16,32,2,0,0,176,2661,0,0,N/A,N/A,PASS
83,accel_lat16,32,2,1,0,74,2120,0,0,N/A,N/A,PASS
84,accel_lat16,64,0,0,0,232,1345,0,0,N/A,N/A,PASS
85,accel_lat16,64,0,1,0,105,2148,0,0,N/A,N/A,PASS
86,accel_lat16,64,1,0,0,233,2020,0,0,N/A,N/A,PASS
87,accel_lat16,64,1,1,0,105,2148,0,0,N/A,N/A,PASS
88,accel_lat16,64,2,0,0,237,2695,0,0,N/A,N/A,PASS
89,accel_lat16,64,2,1,0,105,2148,0,0,N/A,N/A,PASS
2,accel_lat4,4,1,0,1,174,1874,0,0,N/A,N/A,PASS
0,accel_lat4,4,0,0,1,173,1232,0,0,N/A,N/A,PASS
1,accel_lat4,4,0,1,1,1610,1973,0,0,N/A,N/A,PASS
3,accel_lat4,4,1,1,1,1610,1973,0,0,N/A,N/A,PASS
4,accel_lat4,4,2,0,1,180,2516,0,0,N/A,N/A,PASS
5,accel_lat4,4,2,1,1,1610,1973,0,0,N/A,N/A,PASS
6,accel_lat4,8,0,0,1,185,1238,0,0,N/A,N/A,PASS
8,accel_lat4,8,1,0,1,186,1880,0,0,N/A,N/A,PASS
7,accel_lat4,8,0,1,1,1627,1989,0,0,N/A,N/A,PASS
10,accel_lat4,8,2,0,1,189,2522,0,0,N/A,N/A,PASS
9,accel_lat4,8,1,1,1,1627,1989,0,0,N/A,N/A,PASS
11,accel_lat4,8,2,1,1,1627,1989,0,0,N/A,N/A,PASS
12,accel_lat4,16,0,0,1,205,1248,0,0,N/A,N/A,PASS
14,accel_lat4,16,1,0,1,206,1890,0,0,N/A,N/A,PASS
13,accel_lat4,16,0,1,1,1631,2005,0,0,N/A,N/A,PASS
16,accel_lat4,16,2,0,1,211,2532,0,0,N/A,N/A,PASS
17,accel_lat4,16,2,1,1,1631,2005,0,0,N/A,N/A,PASS
15,accel_lat4,16,1,1,1,1631,2005,0,0,N/A,N/A,PASS
18,accel_lat4,32,0,0,1,223,1266,0,0,N/A,N/A,PASS
20,accel_lat4,32,1,0,1,224,1908,0,0,N/A,N/A,PASS
19,accel_lat4,32,0,1,1,1649,2021,0,0,N/A,N/A,PASS
23,accel_lat4,32,2,1,1,1649,2021,0,0,N/A,N/A,PASS
22,accel_lat4,32,2,0,1,228,2550,0,0,N/A,N/A,PASS
21,accel_lat4,32,1,1,1,1649,2021,0,0,N/A,N/A,PASS
24,accel_lat4,64,0,0,1,283,1300,0,0,N/A,N/A,PASS
26,accel_lat4,64,1,0,1,284,1942,0,0,N/A,N/A,PASS
25,accel_lat4,64,0,1,1,1791,2070,0,0,N/A,N/A,PASS
28,accel_lat4,64,2,0,1,351,2584,0,0,N/A,N/A,PASS
27,accel_lat4,64,1,1,1,1791,2070,0,0,N/A,N/A,PASS
29,accel_lat4,64,2,1,1,1791,2070,0,0,N/A,N/A,PASS
30,accel_lat8,4,0,0,1,173,1236,0,0,N/A,N/A,PASS
32,accel_lat8,4,1,0,1,174,1878,0,0,N/A,N/A,PASS
31,accel_lat8,4,0,1,1,1610,1977,0,0,N/A,N/A,PASS
34,accel_lat8,4,2,0,1,180,2520,0,0,N/A,N/A,PASS
33,accel_lat8,4,1,1,1,1610,1977,0,0,N/A,N/A,PASS
35,accel_lat8,4,2,1,1,1610,1977,0,0,N/A,N/A,PASS
36,accel_lat8,8,0,0,1,185,1242,0,0,N/A,N/A,PASS
38,accel_lat8,8,1,0,1,186,1884,0,0,N/A,N/A,PASS
37,accel_lat8,8,0,1,1,1627,1993,0,0,N/A,N/A,PASS
40,accel_lat8,8,2,0,1,189,2526,0,0,N/A,N/A,PASS
41,accel_lat8,8,2,1,1,1627,1993,0,0,N/A,N/A,PASS
39,accel_lat8,8,1,1,1,1627,1993,0,0,N/A,N/A,PASS
42,accel_lat8,16,0,0,1,205,1252,0,0,N/A,N/A,PASS
44,accel_lat8,16,1,0,1,206,1894,0,0,N/A,N/A,PASS
43,accel_lat8,16,0,1,1,1631,2009,0,0,N/A,N/A,PASS
46,accel_lat8,16,2,0,1,211,2536,0,0,N/A,N/A,PASS
47,accel_lat8,16,2,1,1,1631,2009,0,0,N/A,N/A,PASS
45,accel_lat8,16,1,1,1,1631,2009,0,0,N/A,N/A,PASS
48,accel_lat8,32,0,0,1,223,1270,0,0,N/A,N/A,PASS
50,accel_lat8,32,1,0,1,224,1912,0,0,N/A,N/A,PASS
49,accel_lat8,32,0,1,1,1649,2025,0,0,N/A,N/A,PASS
52,accel_lat8,32,2,0,1,228,2554,0,0,N/A,N/A,PASS
53,accel_lat8,32,2,1,1,1649,2025,0,0,N/A,N/A,PASS
51,accel_lat8,32,1,1,1,1649,2025,0,0,N/A,N/A,PASS
54,accel_lat8,64,0,0,1,283,1304,0,0,N/A,N/A,PASS
56,accel_lat8,64,1,0,1,284,1946,0,0,N/A,N/A,PASS
55,accel_lat8,64,0,1,1,1791,2074,0,0,N/A,N/A,PASS
58,accel_lat8,64,2,0,1,351,2588,0,0,N/A,N/A,PASS
57,accel_lat8,64,1,1,1,1791,2074,0,0,N/A,N/A,PASS
59,accel_lat8,64,2,1,1,1791,2074,0,0,N/A,N/A,PASS
60,accel_lat16,4,0,0,1,173,1244,0,0,N/A,N/A,PASS
62,accel_lat16,4,1,0,1,174,1886,0,0,N/A,N/A,PASS
61,accel_lat16,4,0,1,1,1610,1985,0,0,N/A,N/A,PASS
64,accel_lat16,4,2,0,1,180,2528,0,0,N/A,N/A,PASS
