config_id,accel,fifo_depth,reg_slices,clock_crossing,synth_luts,synth_ffs,impl_luts,impl_ffs,wns,tns
2,accel_lat4,4,1,0,0,163,0,163,N/A,N/A
0,accel_lat4,4,0,0,0,163,0,163,N/A,N/A
1,accel_lat4,4,0,1,22,183,20,183,0.436,0
4,accel_lat4,4,2,0,0,163,0,163,N/A,N/A
3,accel_lat4,4,1,1,22,183,20,183,0.436,0
5,accel_lat4,4,2,1,22,183,20,183,0.436,0
6,accel_lat4,8,0,0,0,163,0,163,N/A,N/A
8,accel_lat4,8,1,0,0,163,0,163,N/A,N/A
7,accel_lat4,8,0,1,23,180,21,180,0.094,0
10,accel_lat4,8,2,0,0,163,0,163,N/A,N/A
11,accel_lat4,8,2,1,23,180,21,180,0.094,0
9,accel_lat4,8,1,1,23,180,21,180,0.094,0
12,accel_lat4,16,0,0,0,163,0,163,N/A,N/A
14,accel_lat4,16,1,0,0,163,0,163,N/A,N/A
13,accel_lat4,16,0,1,35,183,33,183,0.060,0
16,accel_lat4,16,2,0,0,163,0,163,N/A,N/A
15,accel_lat4,16,1,1,35,183,33,183,0.060,0
17,accel_lat4,16,2,1,35,183,33,183,0.060,0
18,accel_lat4,32,0,0,0,163,0,163,N/A,N/A
20,accel_lat4,32,1,0,0,163,0,163,N/A,N/A
19,accel_lat4,32,0,1,41,183,39,183,0.370,0
22,accel_lat4,32,2,0,0,163,0,163,N/A,N/A
23,accel_lat4,32,2,1,41,183,39,183,0.370,0
21,accel_lat4,32,1,1,41,183,39,183,0.370,0
26,accel_lat4,64,1,0,0,163,0,163,N/A,N/A
24,accel_lat4,64,0,0,0,163,0,163,N/A,N/A
25,accel_lat4,64,0,1,52,183,50,183,0.213,0
28,accel_lat4,64,2,0,0,163,0,163,N/A,N/A
29,accel_lat4,64,2,1,52,183,50,183,0.213,0
27,accel_lat4,64,1,1,52,183,50,183,0.213,0
32,accel_lat8,4,1,0,0,163,0,163,N/A,N/A
30,accel_lat8,4,0,0,0,163,0,163,N/A,N/A
31,accel_lat8,4,0,1,22,183,20,183,0.436,0
34,accel_lat8,4,2,0,0,163,0,163,N/A,N/A
35,accel_lat8,4,2,1,22,183,20,183,0.436,0
33,accel_lat8,4,1,1,22,183,20,183,0.436,0
36,accel_lat8,8,0,0,0,163,0,163,N/A,N/A
38,accel_lat8,8,1,0,0,163,0,163,N/A,N/A
37,accel_lat8,8,0,1,23,180,21,180,0.094,0
40,accel_lat8,8,2,0,0,163,0,163,N/A,N/A
41,accel_lat8,8,2,1,23,180,21,180,0.094,0
39,accel_lat8,8,1,1,23,180,21,180,0.094,0
44,accel_lat8,16,1,0,0,163,0,163,N/A,N/A
42,accel_lat8,16,0,0,0,163,0,163,N/A,N/A
43,accel_lat8,16,0,1,35,183,33,183,0.060,0
46,accel_lat8,16,2,0,0,163,0,163,N/A,N/A
47,accel_lat8,16,2,1,35,183,33,183,0.060,0
45,accel_lat8,16,1,1,35,183,33,183,0.060,0
50,accel_lat8,32,1,0,0,163,0,163,N/A,N/A
48,accel_lat8,32,0,0,0,163,0,163,N/A,N/A
49,accel_lat8,32,0,1,41,183,39,183,0.370,0
52,accel_lat8,32,2,0,0,163,0,163,N/A,N/A
51,accel_lat8,32,1,1,41,183,39,183,0.370,0
53,accel_lat8,32,2,1,41,183,39,183,0.370,0
56,accel_lat8,64,1,0,0,163,0,163,N/A,N/A
54,accel_lat8,64,0,0,0,163,0,163,N/A,N/A
55,accel_lat8,64,0,1,52,183,50,183,0.213,0
58,accel_lat8,64,2,0,0,163,0,163,N/A,N/A
59,accel_lat8,64,2,1,52,183,50,183,0.213,0
57,accel_lat8,64,1,1,52,183,50,183,0.213,0
60,accel_lat16,4,0,0,0,163,0,163,N/A,N/A
62,accel_lat16,4,1,0,0,163,0,163,N/A,N/A
61,accel_lat16,4,0,1,22,183,20,183,0.436,0
64,accel_lat16,4,2,0,0,163,0,163,N/A,N/A
63,accel_lat16,4,1,1,22,183,20,183,0.436,0
65,accel_lat16,4,2,1,22,183,20,183,0.436,0
66,accel_lat16,8,0,0,0,163,0,163,N/A,N/A
68,accel_lat16,8,1,0,0,163,0,163,N/A,N/A
67,accel_lat16,8,0,1,23,180,21,180,0.094,0
70,accel_lat16,8,2,0,0,163,0,163,N/A,N/A
69,accel_lat16,8,1,1,23,180,21,180,0.094,0
71,accel_lat16,8,2,1,23,180,21,180,0.094,0
72,accel_lat16,16,0,0,0,163,0,163,N/A,N/A
74,accel_lat16,16,1,0,0,163,0,163,N/A,N/A
73,accel_lat16,16,0,1,35,183,33,183,0.060,0
76,accel_lat16,16,2,0,0,163,0,163,N/A,N/A
77,accel_lat16,16,2,1,35,183,33,183,0.060,0
75,accel_lat16,16,1,1,35,183,33,183,0.060,0
78,accel_lat16,32,0,0,0,163,0,163,N/A,N/A
80,accel_lat16,32,1,0,0,163,0,163,N/A,N/A
79,accel_lat16,32,0,1,41,183,39,183,0.370,0
82,accel_lat16,32,2,0,0,163,0,163,N/A,N/A
81,accel_lat16,32,1,1,41,183,39,183,0.370,0
83,accel_lat16,32,2,1,41,183,39,183,0.370,0
84,accel_lat16,64,0,0,0,163,0,163,N/A,N/A
86,accel_lat16,64,1,0,0,163,0,163,N/A,N/A
85,accel_lat16,64,0,1,52,183,50,183,0.213,0
88,accel_lat16,64,2,0,0,163,0,163,N/A,N/A
87,accel_lat16,64,1,1,52,183,50,183,0.213,0
89,accel_lat16,64,2,1,52,183,50,183,0.213,0
